ID_aux;CODIGO;VIA;PREFERENCIA;PTJE_POND;TIPO_MATRICULA
id_5715957871541;40050;1;1;500,6;1
id_5771957077105;36065;1;1;602,3;1
id_5744957074453;16034;1;1;604,75;1
id_5114951171411;27040;1;1;525,6;1
id_5171951477104;26007;1;1;548,9;1
id_5437954573791;50102;1;2;541,7;1
id_5420954772069;49314;1;1;620,6;1
id_5468954076854;52100;1;1;543,3;1
id_5200952470058;52258;1;1;584,45;1
id_5298952079868;53403;1;3;655,8;1
id_5299952079962;39130;1;1;450,2;1
id_5396953979685;37014;1;1;544,8;1
id_5318953371860;21047;1;1;536,65;1
id_5045950774558;14092;1;2;590,3;1
id_5605956870571;45021;1;1;515,15;1
id_5672956577286;55043;1;2;512;1
id_5606956570638;30076;1;1;651,65;1
id_5664956776411;23018;1;1;606,2;1
id_7841978874100;23062;1;1;636,35;1
id_7855978775592;45021;1;1;594,35;1
id_7834978173448;20023;1;1;567,2;1
id_7978979877817;37040;1;1;602,8;1
id_7941979574115;33025;1;1;595,6;1
id_7925979772532;20076;2;1;557,2;4
id_7912979071291;44041;1;1;700,2;1
id_7599975879980;47201;1;1;557,6;1
id_7582975578245;24040;1;1;594,4;1
id_7566975576654;14018;1;1;526,7;1
id_7555975375529;44015;1;1;702;1
id_7738977873830;16006;1;1;663,75;1
id_7768977176870;47431;1;1;678,75;1
id_7754977475490;49211;1;1;553,55;1
id_7733977473376;52100;1;1;552,05;1
id_7774977277429;21048;1;1;507,7;1
id_7795977379502;36065;1;1;591,8;1
id_7790977379029;47431;1;1;619,25;1
id_7760977076091;41102;1;1;501,3;1
id_7115971971510;45035;1;1;580,8;1
id_7111971971173;22008;1;1;588,15;1
id_7163971976341;18063;1;7;529,3;1
id_7140971574054;29035;1;1;622,5;1
id_7149971174928;39117;1;1;546,8;1
id_7116971471697;41164;1;2;736,5;1
id_7145971274565;20081;1;1;599,2;1
id_7198971379819;41004;1;1;506,95;1
id_7168971676820;15101;1;1;602,1;1
id_7482974978266;13022;1;5;551,8;1
id_7477974777721;25051;1;1;610,2;1
id_7424974372450;41032;1;1;631,4;1
id_7456974675667;41005;1;1;602,4;1
id_7282972878224;49201;1;2;570,95;1
id_7271972577179;16019;1;1;550,6;1
id_7293972179328;49316;1;3;516,8;1
id_7244972174454;39132;1;6;614,3;1
id_7287972478763;51230;1;1;577,4;1
id_7246972474633;46104;1;1;612,55;8
id_7217972271716;40041;1;1;683,3;1
id_7222972072200;40030;1;3;553,45;1
id_7246972674612;53301;1;3;598,25;1
id_7261972676125;52090;1;1;548;1
id_7382973878245;16079;1;2;605,8;1
id_7309973970912;47004;1;1;617;1
id_7389973578957;35018;1;1;657;1
id_7392973179292;33078;1;1;716,25;1
id_7306973070691;54304;1;3;573,1;1
id_7092970779297;33078;1;1;727,2;1
id_7085970178560;21039;1;1;553,2;1
id_7069970476918;29086;1;3;506,2;1
id_7063970476304;20071;1;1;605,3;1
id_7089970278916;37092;1;4;522,4;1
id_7026970272622;23059;1;1;557,05;1
id_7082970378226;26303;1;1;713,7;1
id_7072970077278;45001;1;2;512,35;1
id_7046970674626;12022;1;1;734,95;1
id_7687976578798;50230;1;1;669,4;1
id_7661976176152;36057;1;3;489,9;1
id_7683976478363;46305;1;1;566,15;1
id_7645976274512;55108;1;1;578,7;1
id_7688976078842;41066;1;1;593,9;1
id_7625976072598;14004;1;1;586,5;1
id_7683976678330;24047;1;1;750,6;3
id_1831918873175;54305;1;1;627,9;1
id_1801918870108;45005;1;2;613;1
id_1811918171151;20086;1;1;640,4;1
id_1823918472345;13068;1;1;653,75;1
id_1856918275686;33070;1;1;532,2;1
id_1877918677778;52070;1;2;599,4;1
id_1944919874481;22077;1;1;490,65;1
id_1902919870264;55030;1;1;586,9;1
id_1964919876489;55025;1;1;473,7;1
id_1993919579301;39103;1;3;544,7;1
id_1977919177715;20007;1;1;583,2;1
id_1944919174403;15330;1;1;654,9;1
id_1986919478606;37011;1;3;586,35;1
id_1995919479505;11065;1;1;624,45;1
id_1908919470833;47431;1;1;635,65;1
id_1997919279779;45001;1;1;634,45;1
id_1926919272608;38170;1;1;739,8;1
id_1940919374052;41011;1;1;602,5;1
id_1970919077099;20050;1;1;587,45;1
id_1536915773624;26005;1;1;587,1;1
id_1576915177601;19079;1;1;692,8;1
id_1530915473026;49012;1;2;515,25;1
id_1588915278822;52010;1;1;568;1
id_1591915079184;17077;1;1;792,85;1
id_1526915672663;52070;1;2;604,25;1
id_1714917571426;16052;1;1;709;1
id_1731917573174;47431;1;1;574,65;1
id_1717917471773;50121;1;2;656,85;1
id_1123911872357;22070;1;1;455,2;1
id_1159911975911;51150;1;1;555,85;1
id_1414914671480;14033;1;1;600,75;1
id_1238912873843;36050;1;1;568,55;1
id_1209912870996;15574;1;1;644,5;1
id_1247912974723;29073;1;1;664,95;1
id_1234912373440;44008;1;1;755,6;1
id_1309913870901;22023;1;1;591,9;1
id_1369913576933;38173;1;2;674,15;1
id_1356913175602;17807;1;2;495,3;1
id_1342913174283;44008;1;2;626,5;1
id_1333913173323;38173;1;2;654,65;1
id_1385913478583;54202;1;1;559,2;1
id_1341913474143;12014;1;1;794,5;1
id_1339913373924;15110;1;1;654,5;1
id_1335913373552;21073;1;2;574,2;1
id_1335913373556;19091;1;1;720,2;3
id_1358913075849;11069;1;2;723,9;1
id_1316913071669;22056;1;1;650,7;1
id_1622916872278;15312;1;1;613,5;1
id_4871948877190;11021;1;1;653,35;1
id_4800948870000;55031;1;1;609,75;1
id_4850948575063;24040;1;2;488,15;1
id_4802948570278;25052;1;1;602,2;1
id_4863948576361;27023;1;1;527,2;1
id_4858948175871;25053;1;2;512,65;1
id_4858948175826;25044;1;1;519,2;1
id_4888948478881;19088;1;1;730,4;1
id_4843948474318;24070;1;1;496,5;1
id_4837948273757;44001;1;1;560,9;1
id_4832948273214;14060;1;2;553,6;1
id_4827948372785;19003;1;9;515;8
id_4827948372796;19080;1;1;593,25;1
id_4821948372105;41091;1;1;532,9;1
id_4822948372210;26080;1;1;505,9;1
id_4822948372244;26084;1;2;604,7;1
id_4860948076080;19012;1;3;571,8;1
id_4839948673957;11005;1;2;609,15;1
id_4929949972999;18094;1;1;566,6;1
id_4929949972975;51154;1;2;454,55;1
id_4925949972589;51142;1;1;461,7;1
id_4927949972783;41165;1;1;453,4;1
id_4921949972195;39125;1;1;516,8;1
id_4921949972190;53403;1;1;576,35;1
id_4921949972118;54301;1;3;493,5;1
id_4924949972444;49313;1;2;485,55;1
id_4922949972226;16041;1;2;708,05;1
id_4909949970923;34028;1;1;612;1
id_4971949777151;39401;1;1;514,35;1
id_4993949179361;55021;1;2;517,3;1
id_4996949179696;35066;1;1;615,1;1
id_4964949176419;35041;1;1;660,7;1
id_4974949277454;45016;1;1;664,6;1
id_4974949277447;39130;1;1;469,8;1
id_4974949277440;42003;1;1;637,3;1
id_4974949277420;16092;1;2;703,95;1
id_4974949277432;40023;1;3;484,5;1
id_4974949277430;44042;1;2;539,2;1
id_4972949277296;50815;1;1;512,9;1
id_4972949277255;39125;1;1;536,05;1
id_4972949277217;38003;1;1;571,5;1
id_4972949277261;12062;1;1;637,35;1
id_4973949277386;41015;1;2;511,5;1
id_4973949277374;12028;1;2;653,95;1
id_4973949277310;41028;1;1;583,4;1
id_4970949277054;12017;1;2;735,15;1
id_4970949277014;41007;1;1;739,7;1
id_4970949277010;52443;1;11;527,05;2
id_4970949277035;11005;1;2;651,75;1
id_4976949277681;12005;1;1;713,6;1
id_4976949277654;50528;1;2;545,7;1
id_4976949277649;13086;1;4;773,2;1
id_4976949277626;17054;1;1;561,2;1
id_4976949277637;38325;1;1;617,45;1
id_4976949277608;12019;1;1;665,85;1
id_4976949277665;41098;1;1;522,9;1
id_4976949277663;49004;1;2;727,05;1
id_4918949271886;44008;1;2;632,5;1
id_4918949271817;44042;1;11;515,2;2
id_4921949272102;53403;1;1;608,85;1
id_4921949272165;55058;1;1;474,2;1
id_4924949272482;25033;1;2;577,2;1
id_4924949272496;55058;1;1;592,8;1
id_4924949272455;55058;1;1;556,7;1
id_4924949272421;25050;1;1;531,35;1
id_4924949272402;41099;1;5;597;1
id_4924949272468;49210;1;1;567,4;1
id_4922949272293;25052;1;4;545,4;2
id_4922949272278;16052;1;2;647,6;1
id_4922949272249;25001;1;1;633,55;1
id_4922949272244;51255;1;1;628,9;1
id_4922949272229;42002;1;1;737,6;1
id_4922949272209;18084;1;1;531,2;1
id_4922949272261;25004;1;1;542,4;1
id_4923949272385;40070;1;2;759,25;1
id_4923949272378;51254;1;1;507,4;1
id_4923949272315;25065;1;2;499;1
id_4923949272317;43017;1;1;593,65;1
id_4923949272316;38162;1;1;533,3;1
id_4920949272090;51230;1;11;534,1;2
id_4977949377774;41116;1;2;536;1
id_4942949374211;36050;1;1;617,15;1
id_4941949074147;13001;1;1;554,3;1
id_4944949074483;50122;1;8;451,9;1
id_4944949074491;55046;1;1;524,1;1
id_4944949074422;49209;1;1;499,9;1
id_4944949074406;35006;1;3;613,15;1
id_4944949074462;35001;2;2;566,45;4
id_4942949074253;35075;1;1;613,6;1
id_4942949074218;35072;1;1;570;1
id_4942949074245;41026;1;1;559,1;1
id_4580945878085;14066;1;1;518,1;1
id_4580945878091;19042;1;5;621,7;1
id_4580945878042;19086;1;1;555,7;1
id_4580945878025;12025;1;1;624,2;1
id_4586945878659;19085;1;1;584,3;1
id_4586945878656;19027;1;1;639,5;1
id_4586945878679;14037;1;2;580,6;1
id_4586945878615;26047;1;1;582,7;1
id_4586945878647;14095;1;1;613,4;1
id_4586945878605;26040;1;4;536,9;1
id_4586945878667;14034;1;1;541,1;1
id_4598945879898;26301;1;1;506,4;1
id_4598945879854;26093;1;1;556,6;1
id_4598945879841;26301;1;2;572,2;1
id_4598945879843;19046;1;1;594,25;1
id_4599945879955;41097;1;1;480,4;1
id_4580945978052;46402;1;11;517,7;2
id_4506945970640;49108;1;5;499,95;1
id_4556945575635;29015;1;11;473,7;2
id_4596945179613;30039;1;1;509,85;1
id_4555945175580;39419;1;6;572,3;1
id_4530945273061;52100;1;1;570,1;3
id_4537945073794;50224;1;1;629,55;1
id_4561945076157;39129;1;3;587,5;1
id_4561945076170;55004;1;1;545,6;1
id_4561945076113;13013;1;2;617,6;1
id_4563945076313;11062;1;1;608;1
id_4563945076302;36031;1;1;585;1
id_4560945076081;13065;1;1;504,3;1
id_4560945076094;55032;1;1;506,3;1
id_4597945679764;50132;1;2;594,9;1
id_4597945679762;13083;1;1;669,35;1
id_4591945679199;36029;1;2;574,2;1
id_4719947871984;19047;1;2;750,8;1
id_4719947871937;49207;1;2;511,65;1
id_4744947874426;18054;1;3;564,6;1
id_4742947874294;18041;1;1;555,8;1
id_4728947872839;49306;1;3;511,1;1
id_4728947872868;47461;1;1;598;1
id_4728947872866;35040;1;1;538,7;1
id_4729947872924;49202;1;7;493,2;1
id_4729947872934;34018;1;1;616,6;1
id_4729947872904;35064;1;1;519,8;1
id_4729947872902;49215;1;1;520,1;1
id_4729947872903;16034;1;3;627,75;1
id_4725947872586;49212;1;1;601,9;1
id_4725947872593;35006;1;1;600,4;1
id_4724947872456;16045;1;1;636,1;1
id_4724947872477;52443;1;1;582,65;1
id_4724947872446;47491;1;1;607,05;1
id_4763947876345;19084;1;3;618,4;1
id_4786947578668;42003;1;2;655,7;1
id_4721947572112;52141;1;7;559,2;1
id_4752947775242;39119;1;1;614,4;1
id_4705947770516;38168;1;1;549;8
id_4766947776686;22023;1;1;665,5;1
id_4779947177944;38004;1;2;663,45;1
id_4758947475872;42023;1;1;601,4;1
id_4714947071400;55089;1;1;634,7;1
id_4729947072910;55020;1;2;506,1;1
id_4731947673144;38167;1;1;530,9;8
id_4198941879890;20086;1;1;603,6;1
id_4138941973885;49013;1;1;531,2;1
id_4173941577314;35062;1;1;605,7;1
id_4191941779190;49103;1;1;591,8;1
id_4170941777020;11078;1;1;684,65;1
id_4145941774539;12062;1;1;643,05;1
id_4196941179656;22030;1;2;514,7;1
id_4137941173771;40023;1;3;607,75;1
id_4117941271760;49109;1;1;535,9;1
id_4167941276747;51153;1;11;493,45;2
id_4194941379489;45005;1;1;603,5;1
id_4171941377162;49213;1;1;493,9;1
id_4169941676992;41026;1;1;563,3;1
id_4498944879887;18054;1;1;618,3;1
id_4455944875561;50118;1;4;498,7;1
id_4449944874934;41027;1;1;563;1
id_4420944872094;30039;1;1;526,4;1
id_4467944876726;52115;1;1;520,2;1
id_4430944973077;36010;1;1;503,15;1
id_4466944976664;50126;1;2;555,7;1
id_4453944575366;40040;1;10;632,3;2
id_4489944778913;13024;1;2;654,75;1
id_4454944775496;49209;1;1;517,6;1
id_4407944470753;26096;1;1;437,7;1
id_4487944278741;14033;1;1;535,7;1
id_4459944275903;55022;1;4;566,6;1
id_4434944373495;37091;1;1;583,1;1
id_4434944373445;30044;1;1;570,45;1
id_4434944373436;37035;1;1;549,3;1
id_4432944373257;49309;1;2;520,4;1
id_4432944373251;49311;1;11;473,35;2
id_4460944376056;55020;1;4;498,5;1
id_4419944071936;49108;1;5;496,15;1
id_4409944070946;20007;1;1;545;1
id_4466944076644;47002;1;1;619,7;1
id_4413944671320;12089;1;1;667,1;1
id_4292942879213;45038;1;3;538,55;8
id_4236942873616;22077;1;1;470,8;1
id_4279942977942;53301;1;2;597,85;1
id_4210942771069;16008;1;1;671,6;1
id_4241942774119;52177;1;1;549,25;1
id_4212942171275;11061;1;2;648,75;1
id_4248942474841;12096;1;1;616,9;1
id_4247942474702;20066;1;1;520,8;1
id_4206942470645;46403;1;2;579,4;1
id_4283942278356;19005;1;3;569,55;1
id_4270942377039;25034;1;1;551,45;1
id_4259942075995;55011;1;2;592,8;1
id_4274942077436;50929;1;1;714,15;1
id_4210942071059;12030;1;1;638,85;1
id_4226942072619;23075;1;1;735,1;1
id_4252942675239;22021;1;1;535,4;1
id_4335943973524;26007;1;2;448,2;1
id_4369943976968;49112;1;1;579,55;1
id_4309943570925;11005;1;4;612,95;1
id_4357943175723;26094;3;3;790,898;1
id_4371943177186;11020;1;1;674,3;1
id_4397943379761;52115;1;11;539,2;2
id_4310943371048;16100;1;2;655,1;1
id_4368943076881;16035;1;1;648,4;1
id_4043940874395;52258;1;1;514,05;1
id_4008940870819;29004;1;5;516,4;1
id_4000940870046;13077;1;1;631,75;1
id_4092940979266;55025;1;1;436;1
id_4093940979307;18060;1;3;574,4;1
id_4053940975357;18046;1;1;507,8;1
id_4050940975002;24047;1;1;761,1;1
id_4004940570495;19088;1;1;521,67;1
id_4039940173955;37027;1;1;635,3;1
id_4099940479920;19021;1;1;543,95;1
id_4045940474544;44023;1;1;723,4;1
id_4045940474535;13022;1;2;523,45;1
id_4028940472809;22067;1;1;562,65;1
id_4061940276146;27028;1;1;605,5;1
id_4020940072083;55057;1;2;434,7;1
id_4698946779857;46301;1;1;533,4;1
id_4697946779737;22021;1;1;555,8;1
id_4690946779094;41032;1;1;580,2;1
id_4626946772601;50927;1;7;634,6;1
id_4630946173026;22056;1;1;629,7;1
id_4669946176924;26303;1;1;585,1;1
id_4695946479520;27023;1;1;524,8;1
id_4656946275640;13026;1;2;552,55;1
id_4602946270276;29029;1;1;696;1
id_4647946374741;45025;1;1;638,95;1
id_4667946376797;50202;1;1;555,8;1
id_4661946076130;49309;1;1;660,75;1
id_4679946677962;21080;1;1;578,75;1
id_2831928873180;41004;1;1;612,95;1
id_2803928570377;22106;1;11;567,5;8
id_2891928779167;39130;1;5;477,6;1
id_2873928777363;26007;1;1;574;1
id_2862928176264;52060;1;1;464;1
id_2894928479400;24067;1;3;627,3;1
id_2827928472728;27040;1;2;529,9;1
id_2817928271762;17823;1;2;532,8;1
id_2848928274813;26008;1;1;682,6;1
id_2847928274704;33033;1;11;639,35;8
id_2838928273892;16039;1;2;682,35;1
id_2839928273920;16049;1;1;633,4;1
id_2804928270494;38003;1;1;562,4;1
id_2818928371834;45025;1;1;549,2;1
id_2821928372190;11040;1;1;688,3;1
id_2808928070875;38005;1;1;660,85;1
id_2935929873515;15443;1;1;522,7;1
id_2915929971505;21039;1;1;595,05;1
id_2913929771372;17086;1;2;534,55;1
id_2947929774776;25027;1;1;585,7;1
id_2942929774209;25025;1;1;612,3;1
id_2933929773322;36063;1;1;542,8;1
id_2904929770476;36016;1;1;451,7;1
id_2995929179550;49204;1;1;735,7;1
id_2915929171506;20057;1;1;588,95;1
id_2906929170697;40071;1;1;659,3;1
id_2997929479748;35057;1;1;617,2;1
id_2994929479486;11095;1;4;703,5;1
id_2997929279716;50502;1;1;540,3;1
id_2974929277422;24067;1;2;745,8;1
id_2996929379636;22104;1;2;557,2;1
id_2942929674252;33005;1;1;620,9;1
id_2906929670602;40074;1;3;604,6;1
id_2962929676265;51151;1;2;671,95;1
id_2522925972292;26092;1;3;711,4;1
id_2503925970378;41127;1;8;618,15;1
id_2576925577670;22070;1;1;456,6;1
id_2548925574893;22037;1;1;572,95;1
id_2578925777846;14033;1;1;701,9;1
id_2502925170271;38176;1;1;650,4;1
id_2550925475081;47431;1;2;584,65;1
id_2577925477732;20024;1;1;576,15;1
id_2578925277859;25001;1;1;573,1;1
id_2536925673688;16080;1;1;607,2;1
id_2768927876808;55063;1;1;537;1
id_2768927876867;37090;1;3;646,75;2
id_2799927979966;17837;1;3;457,7;1
id_2703927970300;30091;1;1;616,5;1
id_2776927577642;14096;1;1;679,1;1
id_2720927572027;50129;1;1;699,7;1
id_2764927576494;41116;1;1;521,6;1
id_2783927178357;20050;1;1;550;1
id_2775927177540;32162;1;1;555,5;1
id_2746927174600;20071;1;1;645,75;1
id_2727927172703;17077;1;1;647,35;1
id_2737927173787;21074;1;1;496;1
id_2702927170210;13019;1;3;595,45;1
id_2709927470976;26062;1;1;446,9;1
id_2756927275604;33025;1;1;477,2;1
id_2776927277625;11028;1;1;676;1
id_2714927271423;32005;1;2;532,3;1
id_2748927274810;48001;1;1;555,1;1
id_2748927274863;34006;1;1;606;1
id_2704927270441;20024;1;1;611;1
id_2708927370860;25044;1;1;564,4;1
id_2717927071769;41029;1;1;649,2;1
id_2713927071314;47005;1;1;614,5;1
id_2709927070940;36029;1;3;586;1
id_2787927678702;16060;1;3;702,75;1
id_2777927677727;49214;1;1;525,2;1
id_2176921877655;14007;1;1;558,8;1
id_2121921972193;45041;1;1;563;1
id_2199921579998;19020;1;2;563,6;1
id_2110921571040;39110;1;1;517,7;1
id_2159921775902;11021;1;1;636,35;1
id_2117921171729;41032;1;4;566,1;1
id_2135921173594;51150;1;7;531,6;1
id_2151921475129;25053;1;1;714,25;1
id_2111921471107;34039;1;1;661,85;1
id_2101921470162;19091;1;2;584,8;1
id_2164921476436;26029;1;2;572;1
id_2166921476614;11028;1;1;621,6;1
id_2170921277003;55023;1;1;514,5;1
id_2142921274293;16011;1;1;680,35;1
id_2103921270314;22025;1;1;565;1
id_2163921276361;22077;1;1;453,7;1
id_2153921375359;48002;1;1;626,5;1
id_2174921377499;20022;1;1;650,2;1
id_2133921373336;17823;1;1;628,9;1
id_2189921678942;29035;1;1;478,7;1
id_2116921671609;47002;1;1;661,65;1
id_2471924877100;19026;1;6;527,4;1
id_2467924876747;16045;1;1;660,8;1
id_2460924976029;11090;1;1;662,15;1
id_2409924770985;36065;1;1;509,9;1
id_2443924174311;19068;1;1;602,75;1
id_2405924170573;13030;1;1;628,45;1
id_2402924170231;13063;1;3;529,75;1
id_2402924170202;13031;1;2;576,05;1
id_2403924170365;11086;1;3;702,2;1
id_2482924478221;14089;1;11;646,8;2
id_2433924473343;53307;1;1;604,5;1
id_2494924279472;55036;1;1;685,75;1
id_2411924271108;55069;1;1;459,5;1
id_2474924377403;14015;1;1;644,4;1
id_2415924371572;14061;1;1;630,3;1
id_2400924370074;25069;1;3;489,1;1
id_2496924079609;17033;1;2;598,95;1
id_2453924075325;17065;1;1;524,05;1
id_2409924070996;32055;1;1;516,3;1
id_2404924070489;15448;1;1;567,3;1
id_2487924678731;35019;1;1;721,25;1
id_2421924672125;55016;1;2;590,5;1
id_2432924673262;17842;1;1;504;1
id_2436924673675;33060;1;1;618,35;1
id_2462924676200;15562;1;4;522,9;1
id_2254922875416;50812;1;1;616,5;1
id_2212922871211;49111;1;1;543,75;1
id_2244922874434;50919;1;2;660,85;1
id_2240922874047;16045;1;1;641,4;1
id_2295922979527;20050;1;2;714,9;2
id_2230922973041;20007;1;1;606;1
id_2285922578547;21024;1;1;437,1;1
id_2237922573749;51151;1;1;543,85;1
id_2274922777411;16103;1;1;665,85;1
id_2270922777050;39415;1;3;632,8;1
id_2247922774739;22107;1;1;563,85;1
id_2229922772973;13089;1;1;571,5;1
id_2220922772086;39107;1;1;570,8;1
id_2275922177504;21071;1;1;673,3;1
id_2271922177171;21047;1;1;507,6;1
id_2274922177477;11060;1;1;700,9;1
id_2228922172876;13078;1;1;514;1
id_2237922173702;32029;1;1;459,55;1
id_2231922173118;46109;1;1;462,5;8
id_2239922473918;20022;1;2;577,5;2
id_2230922473084;37041;1;3;486,4;1
id_2209922470904;15222;1;1;531,8;1
id_2266922476622;39129;1;3;592,1;1
id_2294922279489;41009;1;1;645,4;1
id_2257922275754;38004;1;2;656,3;1
id_2257922275718;34052;1;1;632,85;1
id_2214922271427;19060;1;1;666,9;1
id_2232922273296;38166;1;1;512,4;1
id_2225922372535;26073;1;1;678,7;1
id_2223922372302;41097;1;1;481,2;1
id_2208922370816;17839;1;1;520,3;1
id_2208922370837;26005;1;1;721,7;1
id_2215922071508;48008;1;2;531,85;1
id_2276922677605;39103;1;2;575,3;1
id_2239922673930;25051;1;1;710,35;1
id_2388923878835;50924;1;1;535,6;1
id_2302923870277;39103;1;3;563,8;1
id_2389923978916;44007;1;1;704,15;1
id_2376923977699;24040;1;2;490,1;1
id_2377923577708;49004;1;5;728,85;1
id_2371923577118;51240;1;2;524,7;1
id_2344923774467;29069;1;1;459,15;1
id_2305923770558;50131;1;1;492,3;1
id_2305923770544;41111;1;1;547,4;1
id_2305923770533;50128;1;1;580;1
id_2386923178664;41013;1;1;622,4;1
id_2399923179984;38004;1;1;750,8;1
id_2393923179387;26008;1;1;537,3;1
id_2342923174223;11040;1;1;731,7;1
id_2340923174000;16060;1;1;745,2;1
id_2379923477929;26029;1;1;719,4;1
id_2377923477753;12014;1;1;723,6;1
id_2318923471817;26007;1;1;514,1;1
id_2311923471106;41087;1;1;488,9;1
id_2347923474734;14033;1;1;567,45;1
id_2300923470008;14068;1;1;567,2;1
id_2391923279112;36061;1;5;537,65;2
id_2394923279484;36010;1;1;560,8;1
id_2357923275734;36056;1;1;615,1;1
id_2377923277703;29015;1;8;482,5;2
id_2316923271644;13032;1;2;565,1;1
id_2362923276222;22091;1;1;597,7;1
id_2389923378910;41004;1;1;545,25;1
id_2380923378080;55008;1;1;493,5;1
id_2359923375969;55055;1;1;581,7;1
id_2355923375549;22090;1;1;578,35;1
id_2351923375110;22005;1;1;680,8;1
id_2349923374993;26302;1;2;491,3;1
id_2301923370192;15412;1;1;628,7;1
id_2395923079535;32163;1;2;573,3;2
id_2319923071965;29076;1;2;616,1;1
id_2361923076120;53302;1;1;518,45;1
id_2397923679784;25041;1;1;688,7;1
id_2392923679282;25024;1;3;512,65;1
id_2091920879176;19012;1;2;518,65;1
id_2054920875433;12023;1;1;659,3;1
id_2078920877885;30055;1;1;576,9;1
id_2041920874110;50530;1;1;495,3;1
id_2067920876715;50815;1;1;583,8;1
id_2090920979082;41063;1;1;640;1
id_2051920975184;51253;1;3;507,65;1
id_2075920977552;14097;1;1;716,6;1
id_2073920977387;13107;1;1;710,8;1
id_2018920971895;19041;1;3;657,1;1
id_2044920974425;26066;1;1;640,9;1
id_2050920575025;17825;1;1;598,2;1
id_2096920779642;32061;1;1;548,9;1
id_2006920770628;32059;1;1;554,75;1
id_2028920172862;47002;1;1;597,8;1
id_2089920478979;54305;1;2;474,95;2
id_2051920475132;52100;1;2;463,8;1
id_2028920472872;50927;1;6;686,95;1
id_2004920470460;50126;1;3;568,8;1
id_2098920279804;41021;1;1;527,8;1
id_2049920274931;23025;1;1;547,6;1
id_2024920272465;22107;1;1;560,95;1
id_2060920276043;41164;1;1;732,45;1
id_2040920374032;41026;1;1;545,1;1
id_2042920674259;52175;1;1;520,7;1
id_2690926879009;16007;1;1;694,1;1
id_2618926871861;32055;1;1;486,15;1
id_2646926874625;41004;1;3;565,85;1
id_2689926978973;32160;1;1;512,1;1
id_2611926971125;13054;1;2;570;1
id_2641926974108;53301;1;1;617,75;1
id_2636926973616;19050;1;1;696,35;1
id_2628926572834;44006;1;1;702,6;1
id_2682926778241;29066;1;1;568;1
id_2655926775505;14015;1;2;582;1
id_2647926774719;39419;1;2;548,6;1
id_2647926774701;55103;1;4;501,25;1
id_2639926773911;16092;1;1;702,05;1
id_2667926776746;16082;1;1;645,25;1
id_2664926776480;47302;1;1;743,4;1
id_2699926179916;21047;1;2;471,35;1
id_2652926175275;34018;1;1;664,9;1
id_2650926475077;51240;1;2;621,7;1
id_2644926474456;49313;1;2;508,45;1
id_2621926472113;39135;1;2;689,9;1
id_2634926473476;51230;1;1;493,8;1
id_2613926271382;33061;1;1;538;1
id_2628926272819;33053;1;1;732,95;1
id_2631926273186;55001;1;2;513,8;1
id_2601926270172;15463;1;1;563,6;1
id_2684926378420;22097;1;1;544,6;1
id_2655926375522;14037;1;1;642,4;1
id_2677926377734;47005;1;1;542,8;1
id_2647926374723;48008;1;1;597,85;1
id_2697926079743;18056;1;1;596,9;1
id_2697926079720;51250;1;4;578,8;1
id_2674926077420;55008;1;1;491,2;1
